Year;År;Station;Datum;Behandling;Ruta;Total täckningsgrad träd och buskar %;Förekommande arter;Stam, lev. Stubbe, död stubbe;Dead/Alive;Kat 1 (Årsskott);Kat 2 (<3cm);Kat 3 (3-5 cm);Kat 4 (5-10 cm);Sandförekomst %;Total täckningsgrad per ruta;Kommentar (kornstorlek mm)
1;2017;Mattmar;20170722;ytskrapning;4;0;;;;0;0;0;0;30;0;Grus-/sand-/jordblandad mark med större stenar. Små hak. Halvpackat, smulas relativt lätt.
1;2017;Mattmar;20170722;ytskrapning;5;0;;;;0;0;0;0;30;0;Grus-/sand-/jordblandad mark med större stenar. Små hak. Halvpackat, smulas relativt lätt.
1;2017;Mattmar;20170722;ytskrapning;6;0;;;;0;0;0;0;30;0;Grus-/sand-/jordblandad mark med större stenar. Små hak. Halvpackat, smulas relativt lätt.
1;2017;Mattmar;20170722;rotryckning;1;1;Betula sp.;S;D;1;0;0;0;1;1;Inblandat i jorden. Täcks av mossor och tät grässvål.
1;2017;Mattmar;20170722;rotryckning;2;1;Betula sp.;S;D;1;0;0;0;1;2;Inblandat i jorden. Täcks av mossor och fläckvis utbredd grässvål.
1;2017;Mattmar;20170722;rotryckning;2;1;Glasbjörk;S;D;0;2;0;0;1;2;se ovan
1;2017;Mattmar;20170722;rotryckning;3;1;Betula sp.;S;D;2;0;0;0;3;7;Inblandat i jord. Blottor genom gamla körspår.
1;2017;Mattmar;20170722;rotryckning;3;1;Glasbjörk;S;D;0;10;0;0;3;7;se ovan
1;2017;Mattmar;20170722;rotryckning;3;1;Salix sp.;S;D;0;0;0;0;3;7;se ovan
1;2017;Mattmar;20170722;rotryckning;3;3;Vårtbjörk;S;D;0;0;0;0;3;7;se ovan
1;2017;Mattmar;20170722;rotryckning;3;1;Tall;L;A;0;1;0;0;3;7;se ovan
1;2017;Mattmar;20170722;rotryckning;4;1;Tall;S;D;0;1;0;0;2;5;Inblandat i jord. Blottor genom gamla körspår.
1;2017;Mattmar;20170722;rotryckning;4;1;Glasbjörk;S;D;0;3;0;0;2;5;se ovan
1;2017;Mattmar;20170722;rotryckning;4;1;Spirea sp.;S;D;0;2;0;0;2;5;se ovan
1;2017;Mattmar;20170722;rotryckning;4;1;Betula sp.;S;D;2;0;0;0;2;5;se ovan
1;2017;Mattmar;20170722;rotryckning;4;1;Vårtbjörk;S;D;0;2;0;0;2;5;se ovan
1;2017;Mattmar;20170722;rotryckning;5;1;Betula sp.;L;A;0;1;0;0;2;6;Inblandat i jord. Blottor genom gamla körspår.
1;2017;Mattmar;20170722;rotryckning;5;1;Betula sp.;S;D;2;0;0;0;2;6;se ovan
1;2017;Mattmar;20170722;rotryckning;5;1;Glasbjörk;S;D;0;2;0;0;2;6;se ovan
1;2017;Mattmar;20170722;rotryckning;5;1;Salix sp.;S;D;0;1;0;0;2;6;se ovan
1;2017;Mattmar;20170722;rotryckning;5;2;Vårtbjörk;S;D;0;4;0;0;2;6;se ovan
1;2017;Mattmar;20170722;rotryckning;6;1;Salix sp.;S;D;0;3;0;0;3;2;Ytligt liggande makadam med gott om sten- och jordblottor. Sandinblandning i den porösa jorden. Även grus.
1;2017;Mattmar;20170722;rotryckning;6;1;Glasbjörk;S;D;0;6;0;0;3;2;se ovan
1;2017;Avesta;20170704;Ytskrapning;1;5;Vårtbjörk;;;7;2;0;0;;10;
1;2017;Avesta;20170704;Ytskrapning;1;5;Sälg;;;0;1;0;0;;10;
1;2017;Avesta;20170704;Ytskrapning;2;20;Vårtbjörk;;;33;7;0;0;;40;
1;2017;Avesta;20170704;Ytskrapning;2;20;Asp;;;0;2;0;0;;40;
1;2017;Avesta;20170704;Ytskrapning;3;4;Vårtbjörk;;;0;2;0;0;;4;
1;2017;Avesta;20170704;Ytskrapning;4;5;Jolster;;;0;1;0;0;;10;
1;2017;Avesta;20170704;Ytskrapning;4;5;Vårtbjörk;;;6;4;0;0;;10;
