Station;Pairnr;Treatment;Beta.type;value
Tallåsen;6;Milled;beta.sne;0
Tallåsen;7;Control;beta.sne;0,5
Tallåsen;7;Milled;beta.sne;0,277777778
Tallåsen;8;Control;beta.sne;0,051282051
Tallåsen;8;Milled;beta.sne;0
Tallåsen;9;Control;beta.sne;0,228571429
Tallåsen;9;Milled;beta.sne;0,057142857
Mo Grindar;1;Control;beta.sor;0,25
Mo Grindar;1;Milled;beta.sor;1
Mo Grindar;3;Control;beta.sor;0
Mo Grindar;3;Milled;beta.sor;0,8
Mo Grindar;4;Control;beta.sor;0
Mo Grindar;4;Milled;beta.sor;
Mo Grindar;5;Control;beta.sor;0,5
Mo Grindar;5;Milled;beta.sor;
Mo Grindar;6;Control;beta.sor;0,428571429
Mo Grindar;6;Milled;beta.sor;
Mo Grindar;7;Control;beta.sor;0,666666667
Mo Grindar;7;Milled;beta.sor;0,5
Mo Grindar;8;Control;beta.sor;0,636363636
Mo Grindar;8;Milled;beta.sor;1
Mo Grindar;9;Control;beta.sor;0,5
Mo Grindar;9;Milled;beta.sor;0,428571429
Norra Valbo;1;Control;beta.sor;0,454545455
Norra Valbo;1;Milled;beta.sor;0,555555556
Norra Valbo;3;Control;beta.sor;0,652173913
Norra Valbo;3;Milled;beta.sor;0,473684211
Norra Valbo;4;Control;beta.sor;0,428571429
Norra Valbo;4;Milled;beta.sor;0,545454545
Norra Valbo;5;Control;beta.sor;0,517241379
Norra Valbo;5;Milled;beta.sor;0,75
Norra Valbo;6;Control;beta.sor;0,4375
Norra Valbo;6;Milled;beta.sor;0,62962963
Norra Valbo;7;Control;beta.sor;0,214285714
Norra Valbo;7;Milled;beta.sor;0,363636364
Norra Valbo;8;Control;beta.sor;0,47826087
Norra Valbo;8;Milled;beta.sor;0,636363636
Norra Valbo;9;Control;beta.sor;0,904761905
Norra Valbo;9;Milled;beta.sor;0,666666667
Storvik;1;Control;beta.sor;0,333333333
Storvik;1;Milled;beta.sor;0,375
Storvik;3;Control;beta.sor;0,666666667
Storvik;3;Milled;beta.sor;0,375
Storvik;4;Control;beta.sor;0,454545455
Storvik;4;Milled;beta.sor;0,333333333
Storvik;5;Control;beta.sor;0,5
Storvik;5;Milled;beta.sor;0,466666667
Storvik;6;Control;beta.sor;0,294117647
Storvik;6;Milled;beta.sor;0,384615385
Storvik;7;Control;beta.sor;0,571428571
Storvik;7;Milled;beta.sor;0,636363636
Storvik;8;Control;beta.sor;0,333333333
Storvik;8;Milled;beta.sor;0,666666667
Storvik;9;Control;beta.sor;0,272727273
Storvik;9;Milled;beta.sor;0,25
Tallåsen;1;Control;beta.sor;0,666666667
Tallåsen;1;Milled;beta.sor;
Tallåsen;3;Control;beta.sor;0,6
Tallåsen;3;Milled;beta.sor;
Tallåsen;4;Control;beta.sor;0,6
Tallåsen;4;Milled;beta.sor;0,714285714
Tallåsen;5;Control;beta.sor;0,6
Tallåsen;5;Milled;beta.sor;1
Tallåsen;6;Control;beta.sor;0,6
Tallåsen;6;Milled;beta.sor;1
Tallåsen;7;Control;beta.sor;0,5
Tallåsen;7;Milled;beta.sor;0,777777778
Tallåsen;8;Control;beta.sor;0,384615385
Tallåsen;8;Milled;beta.sor;1
Tallåsen;9;Control;beta.sor;0,428571429
Tallåsen;9;Milled;beta.sor;0,857142857
