Year;Station;Pairnr;Treatment;Vegetation.height;Litter.depth;Bare.soil;Rock;Grass;Area.for.growth.m2;Taxa_S;Individuals;Dominance_D;Simpson_1-D;Shannon_H;Evenness_e^H/S;Brillouin;Menhinick;Margalef;Equitability_J;Fisher_alpha;Berger-Parker;Chao-1;iChao-1;ACE;Squares
Year 1;Storvik;3;Control;0;0;0;0;1;0,25;9;60;0,1932;0,8068;1,886;0,7328;1,618;1,162;1,954;0,8585;2,936;0,3667;9,492;11,33;10,15;9,831
Year 1;Storvik;3;Milled;0;0;1;24;1;0,01;10;26;0,1138;0,8862;2,26;0,9587;1,673;1,961;2,762;0,9817;5,949;0,2692;12,88;19,43;13,45;12,52
Year 1;Storvik;4;Control;2,5;2;0;0;1;0,25;5;44;0,4165;0,5835;1,086;0,5926;0,9166;0,7538;1,057;0,6749;1,452;0,5682;5,977;6,443;8,667;6,728
Year 1;Storvik;4;Milled;0;0;24;1;0;0,24;5;23;0,2648;0,7352;1,453;0,8548;1,133;1,043;1,276;0,9025;1,968;0,4348;5,478;5,478;5,629;5,3
Year 1;Storvik;5;Control;0;1;0;0;3;0,25;3;33;0,5985;0,4015;0,7205;0,6851;0,5993;0,5222;0,572;0,6558;0,8018;0,7576;3;3;3;3
Year 1;Storvik;5;Milled;0;0;21;4;0;0,21;8;52;0,2564;0,7436;1,644;0,647;1,384;1,109;1,772;0,7906;2,64;0,3654;8,163;8,163;8,429;8,272
Year 1;Storvik;6;Control;5;1;0;0;2;0,25;7;43;0,3732;0,6268;1,36;0,5569;1,11;1,067;1,595;0,6992;2,372;0,5814;8,465;11,4;10,87;10,53
Year 1;Storvik;6;Milled;0;0;10;6;1;0,19;7;42;0,2172;0,7828;1,669;0,7584;1,394;1,08;1,605;0,8579;2,399;0,3095;7,488;8,952;9,461;7,951
Year 1;Storvik;7;Control;0;0,5;1;5;0;0,2;6;60;0,2508;0,7492;1,551;0,7857;1,366;0,7746;1,221;0,8654;1,66;0,35;6;6;6;6
Year 1;Storvik;7;Milled;0;0;11;14;0;0,11;7;27;0,1652;0,8348;1,856;0,9138;1,449;1,347;1,82;0,9537;3,066;0,2593;7,963;8,852;8,098;7,8
Year 1;Storvik;8;Control;1;1;1;4;0;0,21;7;62;0,1962;0,8038;1,738;0,8122;1,528;0,889;1,454;0,8931;2,027;0,3065;7;7,238;7,759;7,21
Year 1;Storvik;8;Milled;0;0;18;7;0;0,18;4;15;0,2762;0,7238;1,345;0,96;0,9873;1,033;1,108;0,9705;1,785;0,4667;4;4;4;4
Year 1;Storvik;9;Control;7,5;2;0;0;0;0,25;5;60;0,3486;0,6514;1,22;0,6774;1,078;0,6455;0,977;0,758;1,297;0,4167;5;5;5;5
Year 1;Storvik;9;Milled;0;0;18;7;0;0,18;7;49;0,1633;0,8367;1,876;0,9322;1,611;1;1,542;0,9639;2,235;0,2857;7;7;7;7
Year 1;Tallåsen;1;Control;5;3;0;0;0;0,25;3;37;0,5135;0,4865;0,7706;0,7203;0,6637;0,4932;0,5539;0,7014;0,7708;0,6486;3;3;3;3,528
Year 1;Tallåsen;1;Milled;0;0;24;1;0;0,24;0;;;;;;;;;;;;;;;
Year 1;Tallåsen;3;Control;0;0,5;3;1;0;0,24;1;23;1;0;0;1;0;0,2085;0;;0,2132;1;1;1;1;1
Year 1;Tallåsen;3;Milled;0;0;24;1;0;0,24;0;;;;;;;;;;;;;;;
Year 1;Tallåsen;4;Control;2,5;1;0;0;0;0,25;3;34;0,574;0,426;0,7475;0,7039;0,6282;0,5145;0,5672;0,6804;0,7935;0,7353;3;3;3;3
Year 1;Tallåsen;4;Milled;0;0;20;5;0;0,2;2;3;0,3333;0,6667;0,8032;1,116;0,3662;1,155;0,9102;1,159;2,622;0,6667;2,333;2,333;3;2,714
Year 1;Tallåsen;5;Control;2,5;0;2;1;0;0,24;2;26;0,9231;0,07692;0,1823;0,6;0,1253;0,3922;0,3069;0,2629;0,505;0,9615;2;2;2;2,929
Year 1;Tallåsen;5;Milled;0;0;14;11;0;0,14;2;3;0,3333;0,6667;0,8032;1,116;0,3662;1,155;0,9102;1,159;2,622;0,6667;2,333;2,333;3;2,714
Year 1;Tallåsen;6;Control;0;0;2;12;;0,13;1;14;1;0;0;1;0;0,2673;0;;0,2465;1;1;1;1;1
Year 1;Tallåsen;6;Milled;0;0;8;17;0;0,08;1;1;NAN;NAN;0;1;0;1;0;;0;1;1;1;1;INF
Year 1;Tallåsen;7;Control;0;0;8;8;0;0,17;1;19;1;0;0;1;0;0,2294;0;;0,2247;1;1;1;1;1
Year 1;Tallåsen;7;Milled;0;0;4;21;0;0,04;2;2;0;1;0,9431;1,284;0,3466;1,414;1,443;1,361;0;0,5;2,5;2,5;2,5;INF
Year 1;Tallåsen;8;Control;5;2;0;0;0;0,25;7;52;0,316;0,684;1,435;0,6002;1,215;0,9707;1,519;0,7377;2,178;0,4808;7,49;9,32;8,655;8,323
Year 1;Tallåsen;8;Milled;0;0;12;13;0;0,12;4;8;0,3571;0,6429;1,261;0,8823;0,7271;1,414;1,443;0,9097;3,184;0,625;6,625;6,625;12,57;8,846
