Year;Station;Datum;Behandling;Ruta;Total täckningsgrad träd och buskar %;Förekommande arter;Stam, lev. Stubbe, död stubbe;Kat 1 (Årsskott);Kat 2 (<3cm);Kat 3 (3-5 cm);Kat 4 (5-10 cm);Sandförekomst %;Kommentar (kornstorlek mm);;;
2017;Mattmar;20170722;Ytskrapning;6;0;-;;;;;;30;Grus-/sand-/jordblandad mark med större stenar. Små hak. Halvpackat, smulas relativt lätt.;;;
2017;Mattmar;20170722;Rotryckning;1;1;Betula sp.;S;1;;;;?1;Inblandat i jorden. Täcks av mossor och tät grässvål.;;;
2017;Mattmar;20170722;Rotryckning;2;1;Betula sp.;S;1;;;;?1;Inblandat i jorden. Täcks av mossor och fläckvis utbredd grässvål.;;;
2017;Mattmar;20170722;Rotryckning;2;1;glasbjörk;S;;2;;;?1;se ovan;;;
2017;Mattmar;20170722;Rotryckning;3;1;Betula sp.;S;2;;;;3;Inblandat i jord. Blottor genom gamla körspår.;;;
2017;Mattmar;20170722;Rotryckning;3;1;glasbjörk;S;;10;;;3;se ovan;;;
2017;Mattmar;20170722;Rotryckning;3;1;Salix sp.;S;;;;;3;se ovan;;;
2017;Mattmar;20170722;Rotryckning;3;3;vårtbjörk;S;;;;;3;se ovan;;;
2017;Mattmar;20170722;Rotryckning;3;1;tall;L;;1;;;3;se ovan;;;
2017;Mattmar;20170722;Rotryckning;4;1;tall;S;;1;;;2;Inblandat i jord. Blottor genom gamla körspår.;;;
2017;Mattmar;20170722;Rotryckning;4;1;glasbjörk;S;;3;;;;se ovan;;;
2017;Mattmar;20170722;Rotryckning;4;1;Spirea sp.;S;;2;;;;se ovan;;;
2017;Mattmar;20170722;Rotryckning;4;1;Betula sp.;S;2;;;;;se ovan;;;
2017;Mattmar;20170722;Rotryckning;4;1;vårtbjörk;S;;2;;;;se ovan;;;
2017;Mattmar;20170722;Rotryckning;5;1;Betula sp.;L;;1;;;2;Inblandat i jord. Blottor genom gamla körspår.;;;
2017;Mattmar;20170722;Rotryckning;5;1;Betula sp.;S;2;;;;;se ovan;;;
2017;Mattmar;20170722;Rotryckning;5;1;glasbjörk;S;;2;;;;se ovan;;;
2017;Mattmar;20170722;Rotryckning;5;1;Salix sp.;S;;1;;;;se ovan;;;
2017;Mattmar;20170722;Rotryckning;5;2;vårtbjörk;S;;4;;;;se ovan;;;
2017;Mattmar;20170722;Rotryckning;6;1;Salix sp.;S;;3;;;3;Ytligt liggande makadam med gott om sten- och jordblottor. Sandinblandning i den porösa jorden. Även grus.;;;
2017;Mattmar;20170722;Rotryckning;6;1;glasbjörk;S;;6;;;;se ovan;;;
2017;Avesta;20170704;Ytskrapning;1;5;Vårtbjörk;;7;2;;;;;;;
2017;Avesta;20170704;Ytskrapning;1;5;Sälg;;;1;;;;;;;
2017;Avesta;20170704;Ytskrapning;2;20;Vårtbjörk;;33;7;;;;;;;
2017;Avesta;20170704;Ytskrapning;2;20;Asp;;;2;;;;;;;
2017;Avesta;20170704;Ytskrapning;3;4;Vårtbjörk;;;2;;;;;;;
2017;Avesta;20170704;Ytskrapning;4;5;Jolster;;;1;;;;;;;
2017;Avesta;20170704;Ytskrapning;4;5;Vårtbjörk;;6;4;;;;;;;
2017;Avesta;20170704;Ytskrapning;5;1;Tall;;1;;;;;;;;
2017;Avesta;20170704;Ytskrapning;5;1;Asp;;1;;;;;;;;
2017;Avesta;20170704;Ytskrapning;6;15;Sälg;;;1;;;;;;;
2017;Avesta;20170704;Ytskrapning;6;15;Vårtbjörk;;1;2;;;;;;;
2017;Jularbo;20170705;Ytskrapning;1;2;Asp;;1;1;;;;;;;
2017;Jularbo;20170705;Ytskrapning;1;2;Vårtbjörk;;7;;;;;;;;
2017;Jularbo;20170705;Ytskrapning;1;2;Gråal;;1;;;;;;;;
2017;Jularbo;20170705;Ytskrapning;1;2;Gråvide;;;1;;;;;;;
2017;Jularbo;20170705;Ytskrapning;2;1;Vårtbjörk;;4;;;;;;;;
2017;Jularbo;20170705;Ytskrapning;2;1;Asp;;1;;;;;;;;
2017;Jularbo;20170705;Ytskrapning;3;1;Vårtbjörk;;2;;;;;;;;
2017;Jularbo;20170705;Ytskrapning;3;1;Gråal;;2;;;;;;;;
2017;Jularbo;20170705;Ytskrapning;4;40;Gråal;;40;9;4;1;;;;;
2017;Jularbo;20170705;Ytskrapning;4;40;Vårtbjörk;;15;;;;;;;;
2017;Jularbo;20170705;Ytskrapning;4;40;Tall;;;1;;;;;;;
2017;Jularbo;20170705;Ytskrapning;5;10;Gråal;;1;;;;;;;;
2017;Jularbo;20170705;Ytskrapning;5;10;Vårtbjörk;;5;3;;;;;;;
2017;Jularbo;20170705;Ytskrapning;5;10;Asp;;1;;;;;;;;
